Provincia,Total,Mbps (Media de bajada),Población,% Cobertura,Accesos por cada 100 hogares,KPI_1,KPI_2
Buenos Aires,4794665,111.0,17761554,26.99,78.94,1.05,36.77
Capital Federal,1551926,182.86,3638134,42.66,122.73,0.37,44.74
Catamarca,70909,83.33,434055,16.34,65.77,0.67,26.81
Chaco,143663,104.02,1305675,11.0,43.62,-0.55,48.85
Chubut,168759,15.92,628259,26.86,85.57,1.39,2.2
Corrientes,155453,94.72,1188638,13.08,51.64,6.64,52.42
Córdoba,1049660,108.77,3860613,27.19,89.03,0.81,48.22
Entre Ríos,270974,87.47,1426323,19.0,64.01,0.53,51.42
Formosa,61840,72.03,633866,9.76,39.41,-11.04,57.86
Jujuy,118218,39.32,747558,15.81,58.46,-0.77,17.52
La Pampa,114164,19.1,377613,30.23,94.8,-1.89,5.24
La Rioja,86262,61.0,397349,21.71,79.86,-1.0,27.38
Mendoza,292104,38.76,1964807,14.87,51.36,0.64,11.87
Misiones,186269,91.24,1349291,13.8,52.85,1.95,45.97
Neuquén,160180,95.37,744592,21.51,78.67,-2.16,49.87
Río Negro,162092,75.31,797643,20.32,68.42,0.64,54.68
Salta,205860,75.93,1428827,14.41,57.96,0.35,45.57
San Juan,103826,16.39,809060,12.83,50.88,0.16,3.36
San Luis,135220,30.67,536186,25.22,90.27,9.45,36.97
Santa Cruz,50203,14.33,359753,13.95,43.53,0.78,12.07
Santa Fe,887691,90.3,3554047,24.98,78.4,-0.19,50.0
Santiago Del Estero,119494,34.4,1067889,11.19,48.05,0.15,48.58
Tierra Del Fuego,55260,13.48,191365,28.88,101.44,1.9,18.32
Tucumán,263422,88.33,1694238,15.55,61.04,-0.16,39.59
