Año,Trimestre,Fecha,Provincia,Banda ancha fija,Dial up,Mbps (Media de bajada),ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Accesos por cada 100 hogares,KPI_1,KPI_2
2014,1,2014-01-01,Buenos Aires,2725732,14144.0,3.7331327999829305,1567685,1000879,120960,16528,33824,2739876,54.57007287943976,,
2014,2,2014-04-01,Buenos Aires,2750430,14116.0,3.851862760043666,1568881,1025490,120008,17020,33147,2764546,55.06141695143392,0.89,3.08
2014,3,2014-07-01,Buenos Aires,2835537,14028.0,3.969046991173242,1562533,1110628,124474,20049,31881,2849565,56.75473916407103,2.98,2.95
2014,4,2014-10-01,Buenos Aires,2801178,15229.0,4.198943508236657,1575978,1070135,120528,17728,32038,2816407,56.09433653019754,-1.18,5.48
2015,1,2015-01-01,Buenos Aires,2847076,14766.0,4.323803709346771,1583135,1096836,134177,18754,28940,2861842,56.37048433026737,0.49,2.89
2015,2,2015-04-01,Buenos Aires,2871079,12711.0,4.463495663548014,1581770,1141052,115660,19268,26040,2883790,56.80280561439208,0.76,3.13
2015,3,2015-07-01,Buenos Aires,2916070,12695.0,4.700597914270459,1585467,1183894,113590,19989,25825,2928765,57.68868105608009,1.54,5.04
2015,4,2015-10-01,Buenos Aires,2946743,12642.0,4.884148905856541,1586343,1223603,103269,20397,25773,2959385,58.29182182733718,1.03,3.76
2016,1,2016-01-01,Buenos Aires,2929903,12612.0,4.9921684374839135,1583560,1200859,111231,21108,25757,2942515,57.33590782254113,-1.67,2.16
2016,2,2016-04-01,Buenos Aires,3032776,12515.0,5.415144367004824,1579448,1305949,113070,21163,25661,3045291,59.33852679105808,3.37,7.81
2016,3,2016-07-01,Buenos Aires,3075387,11205.0,5.914918008163684,1574216,1355770,113463,18867,24276,3086592,60.14329545468815,1.34,8.45
2016,4,2016-10-01,Buenos Aires,3131499,11202.0,6.3515464502603125,1563542,1414676,118747,21394,24342,3142701,61.236587430356856,1.79,6.87
2017,1,2017-01-01,Buenos Aires,3178174,11202.0,6.678482577091709,1559178,1465817,118839,21200,24342,3189376,58.57400244920328,-4.55,4.9
2017,2,2017-04-01,Buenos Aires,3067430,11201.0,7.198747751887984,1378549,1535037,119132,21555,24358,3078631,56.27214416169132,-4.09,7.23
2017,3,2017-07-01,Buenos Aires,3046758,11202.0,8.425706211853651,1288025,1571180,124920,35058,38777,3057960,55.62938339533962,-1.16,14.56
2017,4,2017-10-01,Buenos Aires,3171206,10690.0,12.9720825438982,1241172,1718013,131181,60082,31448,3181896,57.609615290258205,3.44,35.05
2018,1,2018-01-01,Buenos Aires,3464882,10564.0,14.198889644680946,1452061,1793884,133928,64379,31194,3475446,62.62621166168454,8.01,8.64
2018,2,2018-04-01,Buenos Aires,3490134,10565.0,14.679375512175804,1450203,1807868,143626,71256,27746,3500699,62.78226651094991,0.25,3.27
2018,3,2018-07-01,Buenos Aires,3599714,10563.0,16.77973513236217,1435856,1929273,156382,62318,26448,3610277,64.44056759752046,2.57,12.52
2018,4,2018-10-01,Buenos Aires,3626502,10104.0,16.934363010150058,1305576,1949637,296102,65477,19814,3636606,64.60284663484316,0.25,0.91
2019,1,2019-01-01,Buenos Aires,3736563,10104.0,19.643958224230506,1304507,2020730,336362,64867,20201,3746667,66.24255522736811,2.48,13.79
2019,2,2019-04-01,Buenos Aires,3845594,10104.0,22.480046018557395,1284658,2079900,382971,75240,32929,3855698,67.84713982374198,2.36,12.62
2019,3,2019-07-01,Buenos Aires,3950114,10119.0,25.679380143834067,1277249,2144956,425386,85572,27070,3960233,69.35630106079125,2.18,12.46
2019,4,2019-10-01,Buenos Aires,3681120,5134.0,30.769694141005864,720011,2191672,669194,87111,18266,3686254,64.25205288245421,-7.94,16.54
2020,1,2020-01-01,Buenos Aires,3702985,5066.0,45.18128807375552,673237,2210349,720688,85443,18334,3708051,64.32563101743429,0.11,31.9
2020,2,2020-04-01,Buenos Aires,3772480,5066.0,45.66197363212277,661272,2244277,723072,91736,57189,3777546,65.2205801358229,1.37,1.05
2020,3,2020-07-01,Buenos Aires,3932211,5066.0,48.37662390811511,653930,2384557,749087,94162,55541,3937277,67.65618983090923,3.6,5.61
2020,4,2020-10-01,Buenos Aires,4028195,5066.0,50.00838083963576,635651,2441248,804991,93444,57927,4033261,68.97702220170737,1.91,3.26
2021,1,2021-01-01,Buenos Aires,4054936,5066.0,50.78565608506508,629679,2452056,821597,98806,57864,4060002,69.10524076185938,0.19,1.53
2021,2,2021-04-01,Buenos Aires,4127167,5184.0,52.75542937003713,603255,2503830,854173,113546,57547,4132351,70.00330336027972,1.28,3.73
2021,3,2021-07-01,Buenos Aires,4246425,5184.0,56.25755092469591,585729,2595485,885613,120228,64554,4251609,71.68218940101933,2.34,6.23
2021,4,2021-10-01,Buenos Aires,4502772,6385.0,60.2091238315554,426325,2706506,1176024,126887,73415,4509157,75.66410602338475,5.26,6.56
2022,1,2022-01-01,Buenos Aires,4549131,6293.0,62.51,392045,2728865,1242121,125521,66872,4555424,76.07814661157262,0.54,3.68
2022,2,2022-04-01,Buenos Aires,4660984,6199.0,65.5,350652,2719613,1399043,126847,71028,4667183,77.58,1.94,4.56
2022,3,2022-07-01,Buenos Aires,4715469,6199.0,70.19,339648,2748325,1436433,126846,70416,4721668,78.11,0.68,6.68
2022,4,2022-10-01,Buenos Aires,4788466,6199.0,111.0,325908,2767247,1499149,129910,72451,4794665,78.94,1.05,36.77
2014,1,2014-01-01,Capital Federal,1289204,10714.0,4.024081510870217,445569,820161,17767,1866,14555,1299918,112.25412278926912,,
2014,2,2014-04-01,Capital Federal,1299502,10713.0,4.249991223638481,447637,828411,17729,1883,14555,1310215,113.1433524754098,0.79,5.32
2014,3,2014-07-01,Capital Federal,1307195,10630.0,4.437380943390075,450155,833402,17886,1995,14387,1317825,113.8005123324155,0.58,4.22
2014,4,2014-10-01,Capital Federal,1318526,11994.0,4.7817877112755625,455785,840224,17155,1962,15394,1330520,114.89676550801624,0.95,7.2
2015,1,2015-01-01,Capital Federal,1321139,11582.0,4.999711683876372,454934,841743,19334,1994,14716,1332721,114.89699714890288,0.0,4.36
2015,2,2015-04-01,Capital Federal,1336391,9893.0,5.31214873823781,453178,858342,19786,2172,12806,1346284,116.06627091860372,1.01,5.88
2015,3,2015-07-01,Capital Federal,1362193,9875.0,5.66468043459464,454815,871262,30974,2229,12788,1372068,118.2892111643196,1.88,6.22
